309.030, 129.492, 4.257,  4.379 False
308.887, 129.492, 4.288,  4.412 False
308.743, 129.491, 4.320,  4.445 False
308.598, 129.491, 4.351,  4.478 False
308.453, 129.491, 4.383,  4.511 False
308.306, 129.491, 4.414,  4.544 False
308.158, 129.491, 4.446,  4.577 False
308.009, 129.491, 4.477,  4.610 False
307.859, 129.491, 4.509,  4.643 False
307.708, 129.491, 4.540,  4.676 False
307.556, 129.491, 4.572,  4.709 False
307.402, 129.491, 4.602,  4.742 False
307.248, 129.491, 4.634,  4.775 False
307.093, 129.491, 4.664,  4.808 False
306.937, 129.491, 4.697,  4.841 False
306.780, 129.493, 4.725,  4.874 False
306.621, 129.495, 4.756,  4.907 False
306.462, 129.498, 4.787,  4.940 False
306.302, 129.501, 4.820,  4.973 False
306.140, 129.505, 4.850,  5.006 False
305.978, 129.509, 4.882,  5.039 False
305.814, 129.513, 4.913,  5.072 False
305.650, 129.517, 4.945,  5.105 False
305.484, 129.522, 4.975,  5.138 False
305.318, 129.527, 5.007,  5.171 False
305.150, 129.533, 5.036,  5.204 False
304.981, 129.538, 5.070,  5.237 False
304.812, 129.544, 5.099,  5.270 False
304.641, 129.551, 5.132,  5.303 False
304.470, 129.558, 5.158,  5.336 False
304.297, 129.565, 5.174,  5.369 False
304.125, 129.573, 5.169,  5.402 False
303.954, 129.581, 5.165,  5.435 False
303.782, 129.590, 5.170,  5.468 False
303.609, 129.599, 5.187,  5.501 False
303.436, 129.608, 5.210,  5.534 False
303.262, 129.616, 5.244,  5.567 False
303.086, 129.625, 5.282,  5.600 False
302.909, 129.633, 5.325,  5.633 False
302.731, 129.642, 5.369,  5.666 False
302.551, 129.650, 5.414,  5.699 False
302.369, 129.659, 5.457,  5.732 False
302.186, 129.668, 5.500,  5.765 False
302.002, 129.677, 5.539,  5.798 False
301.816, 129.686, 5.579,  5.831 False
301.630, 129.695, 5.615,  5.864 False
301.442, 129.704, 5.652,  5.897 False
301.253, 129.714, 5.687,  5.930 False
301.063, 129.723, 5.723,  5.963 False
300.871, 129.734, 5.756,  5.996 False
300.679, 129.746, 5.792,  6.029 False
300.486, 129.757, 5.825,  6.062 False
300.291, 129.768, 5.861,  6.095 False
300.095, 129.779, 5.894,  6.128 False
299.898, 129.790, 5.928,  6.161 False
299.700, 129.801, 5.960,  6.194 False
299.501, 129.812, 5.994,  6.227 False
299.301, 129.824, 6.026,  6.260 False
299.099, 129.836, 6.060,  6.293 False
298.897, 129.848, 6.091,  6.326 False
298.693, 129.860, 6.125,  6.359 False
298.489, 129.871, 6.156,  6.392 False
298.283, 129.884, 6.190,  6.425 False
298.077, 129.896, 6.221,  6.458 False
297.869, 129.908, 6.254,  6.491 False
297.660, 129.920, 6.284,  6.524 False
297.450, 129.933, 6.317,  6.557 False
297.239, 129.945, 6.348,  6.590 False
297.027, 129.958, 6.381,  6.623 False
296.814, 129.971, 6.411,  6.656 False
296.600, 129.984, 6.443,  6.689 False
296.385, 129.996, 6.473,  6.722 False
296.169, 130.009, 6.506,  6.755 False
295.952, 130.022, 6.536,  6.788 False
295.734, 130.036, 6.569,  6.821 False
295.515, 130.050, 6.599,  6.854 False
295.294, 130.063, 6.632,  6.887 False
295.073, 130.077, 6.661,  6.920 False
294.851, 130.090, 6.694,  6.953 False
294.627, 130.104, 6.722,  6.986 False
294.403, 130.118, 6.753,  7.019 False
294.178, 130.132, 6.781,  7.052 False
293.951, 130.146, 6.812,  7.085 False
293.724, 130.160, 6.840,  7.118 False
293.496, 130.174, 6.870,  7.151 False
293.266, 130.188, 6.898,  7.184 False
293.036, 130.202, 6.929,  7.217 False
292.805, 130.216, 6.957,  7.250 False
292.573, 130.230, 6.989,  7.283 False
292.340, 130.244, 7.017,  7.316 False
292.105, 130.258, 7.048,  7.349 False
291.870, 130.273, 7.076,  7.382 False
291.634, 130.287, 7.107,  7.415 False
291.397, 130.302, 7.135,  7.448 False
291.159, 130.316, 7.167,  7.481 False
290.920, 130.332, 7.194,  7.514 False
290.680, 130.349, 7.225,  7.547 False
290.439, 130.364, 7.253,  7.580 False
290.197, 130.380, 7.285,  7.613 False
289.954, 130.395, 7.313,  7.646 False
289.710, 130.410, 7.344,  7.679 False
289.465, 130.426, 7.372,  7.712 False
289.219, 130.441, 7.402,  7.745 False
288.972, 130.457, 7.430,  7.778 False
288.724, 130.472, 7.461,  7.811 False
288.475, 130.487, 7.488,  7.844 False
288.225, 130.503, 7.518,  7.877 False
287.974, 130.518, 7.545,  7.910 False
287.722, 130.533, 7.576,  7.943 False
287.470, 130.549, 7.603,  7.976 False
287.216, 130.564, 7.633,  8.009 False
286.961, 130.580, 7.661,  8.042 False
286.706, 130.595, 7.691,  8.075 False
286.449, 130.610, 7.718,  8.108 False
286.191, 130.625, 7.749,  8.141 False
285.933, 130.640, 7.777,  8.174 False
285.673, 130.655, 7.808,  8.207 False
285.413, 130.670, 7.836,  8.240 False
285.151, 130.685, 7.867,  8.273 False
284.889, 130.699, 7.894,  8.306 False
284.625, 130.712, 7.924,  8.339 False
284.361, 130.725, 7.952,  8.372 False
284.095, 130.738, 7.983,  8.405 False
283.829, 130.750, 8.011,  8.438 False
283.561, 130.762, 8.042,  8.471 False
283.293, 130.774, 8.070,  8.504 False
283.023, 130.785, 8.102,  8.537 False
282.752, 130.795, 8.130,  8.570 False
282.481, 130.806, 8.162,  8.603 False
282.208, 130.815, 8.188,  8.636 False
281.935, 130.822, 8.218,  8.669 False
281.660, 130.831, 8.246,  8.702 False
281.385, 130.839, 8.270,  8.735 False
281.109, 130.847, 8.290,  8.768 False
280.832, 130.854, 8.307,  8.801 False
